code,manufacturer,description_ko,description_en,summary_ko,summary_en,tts_phrase
P1461,BMW,가열된 촉매 게이트 전압 신호가 낮습니다.,Heated Catalyst Gate Voltage Signal Low,촉매 게이트 전압 신호 낮음,Heated Catalyst Gate Voltage Signal Low,운전 중인 차량의 가열된 촉매 게이트 전압 신호가 너무 낮게 측정되었습니다. 이는 시스템 오류를 의미합니다.
P1462,BMW,가열 촉매 컨버터 내부 제어 모듈 체크섬 ROM 오류입니다.,Heated Catalyst Internal Control Module Checksum ROM Error,ROM 오류,Heated Catalyst Internal Control Module Checksum R...,가열 촉매 컨버터의 내부 제어 모듈에센서 체크섬 관련 문제로 인한 ROM 에러가 발생했습니다.
P1463,BMW,가열 촉매 컨버터 배터리 온도 센서 1 전기 시스템 이상,Heated Catalyst Battery Temperature Sensor 1 Electrical,촉매 배터리 전원 문제,Heated Catalyst Battery Temperature Sensor 1 Elect...,가열된 촉매 컨버터 배터리의 온도를 감지하는 센서 1의 전기 관련 문제가 발생했습니다.
P1464,BMW,가열형 촉매 컨버터 배터리 온도 센서 2의 전기적 문제입니다.,Heated Catalyst Battery Temperature Sensor 2 Electrical,센서 오류,Heated Catalyst Battery Temperature Sensor 2 Elect...,가열형 촉매 컨버터 배터리 온도 센서 2에센서 전기적 문제가 발생했습니다.
P1465,BMW,가열 촉매 컨버터 배터리 온도 센서 1 또는 2의 타당성 문제입니다.,Heated Catalyst Battery Temperature Sensor 1 or 2 Plausibility,센서 타당성,Heated Catalyst Battery Temperature Sensor 1 or 2 ...,"운전 중이신데요, 가열 촉매 컨버터 배터리 온도 센서 1이나 2에센서 문제가 발생했습니다. 정확한 진단을 위해 전문가와 상담해보세요."
P1466,BMW,가열 촉매 전력 스위치 온도 센서 타당성,Heated Catalyst Power Switch Temperature Sensor Plausibility,촉매 온도센서 오류,Heated Catalyst Power Switch Temperature Sensor Pl...,가열 촉매 전력 스위치의 온도 센서에센서 이상이 감지되었습니다.
P1467,BMW,가열 촉매 비교 배터리 전압의 타당성,Heated Catalyst Comparison Battery Voltages of Power Switches Plausibility,촉매 비정상,Heated Catalyst Comparison Battery Voltages of Pow...,가열 촉매의 배터리 전압이 정상 범위를 벗어난 것으로 보입니다.
P1468,BMW,열린 촉매 컨버터 배터리 연결 스위치 타당성 문제입니다.,Heated Catalyst Battery Disconnecting Switch Plausibility,타당성 문제,Heated Catalyst Battery Disconnecting Switch Plaus...,열린 촉매 컨버터 배터리 연결 스위치의 이상이 감지되었습니다. 이는 실제 문제가 발생했을 가능성이 낮음을 의미합니다.
P1470,BMW,누설 진단 펌프 제어 회로 전기 결함,Leakage Diagnostic Pump Control Circuit Electrical,펌프 누설,Leakage Diagnostic Pump Control Circuit Electrical,펌프의 제어 회로에센서 누수가 발생했습니다.
P1472,BMW,진단 모듈 탱크 누설 감지 기능의 솔레노이드 제어 회로 전기 문제입니다.,Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Electrical,탱크 누설 솔레노이드 고장,Diagnostic Module Tank Leakage DM-TL Switching Sol...,차량 진단 시스템에센서 탱크 누설을 감지하는 솔레노이드의 제어 회로에 문제가 발생했습니다.
P1473,BMW,진단 모듈 탱크 누설 및 펌프 전류 타당성 오류입니다.,Diagnostic Module Tank Leakage DM-TL Pump Current Plausibility,DM-TL 누설 및 펌프 전류 오류,Diagnostic Module Tank Leakage DM-TL Pump Current ...,디agnostics 모듈에센서 탱크 누설과 펌프의 전류 타당성이 이상이 발생했습니다.
P1475,BMW,누출 진단 펌프 리드 스위치가 닫히지 않았습니다.,Leakage Diagnostic Pump Reed Switch Did Not Close,리드 스위치 누설,Leakage Diagnostic Pump Reed Switch Did Not Close,누설 진단 펌프의 리드 스위치가 정상적으로 작동하지 않아 닫히지 않았습니다.
P1476,BMW,누설 진단 펌프 클램핑 튜브,Leakage Diagnostic Pump Clamped Tube,누설,Leakage Diagnostic Pump Clamped Tube,누설이 발생한 펌프 클램핑 튜브를 확인하세요.
P1477,BMW,누출 진단 펌프 리드 스위치가 열리지 않았습니다.,Leakage Diagnostic Pump Reed Switch Did Not Open,리드 스위치 열림 오류,Leakage Diagnostic Pump Reed Switch Did Not Open,누설 진단 펌프의 리드 스위치가 열리지 않았어요. 주의하세요.
P1500,BMW,공회로전 속도 제어 밸브가 열린 채 고착되었습니다.,Idle Speed Control Valve Stuck Open,밸브 고착,Idle Speed Control Valve Stuck Open,운전 중이시라면 주의하셔야 합니다. 공회로전 속도를 조절하는 밸브가 열려센서 고착된 상태입니다.
P1501,BMW,공회로전 속도 제어 밸브가 닫힌 채 고착되었습니다.,Idle Speed Control Valve Stuck Closed,밸브 고장,Idle Speed Control Valve Stuck Closed,운전 중 공회로전 속도를 조절하는 밸브가 문제가 생겨 닫힌 채 고착된 상태입니다. 주의해주세요.
P1502,BMW,공회로전 속도 제어 밸브 닫힘 솔레노이드 제어 회로 신호가 높거나 낮음,Idle Speed Control Valve Closing Solenoid Control Circuit Signal High Or Low,신호 이상,Idle Speed Control Valve Closing Solenoid Control ...,공회로전 속도를 조절하는 밸브의 닫힘 솔레노이드 제어 회로에센서 신호가 너무 높거나 너무 낮게 감지되었습니다.
P1503,BMW,공회로전 속도 제어 밸브의 닫힘 솔레노이드 제어 회로 신호가 너무 낮습니다.,Idle Speed Control Valve Closing Solenoid Control Circuit Signal Low,신호 낮음,Idle Speed Control Valve Closing Solenoid Control ...,공회로전 속도 제어 밸브의 닫힘 솔레노이드 제어 회로 신호가 저조해요. 확인 부탁드립니다.
P1504,BMW,공회로전 속도 제어 밸브 닫힘 솔레노이드 제어 회로 단선,Idle Speed Control Valve Closing Solenoid Control Open Circuit,Idle Speed Control,Idle Speed Control Valve Closing Solenoid Control ...,공회로전 속도를 조절하는 밸브의 닫힘 솔레노이드 제어 회로에센서 단선이 발생했습니다.
P1505,BMW,공회로전 속도 제어 밸브 닫힘 솔레노이드 제어 회로 전기 결함입니다.,Idle Speed Control Valve Closing Solenoid Control Circuit Electrical,Idle Speed Control,Idle Speed Control Valve Closing Solenoid Control ...,"공회로전 속도를 조절하는 밸브의 닫힘 솔레노이드가 있는 제어 회로에 문제가 발생했습니다. 운전자분, 차량을 진단소에 가져와 주세요."
P1506,BMW,공회로전 속도 제어 밸브 단선 솔레노이드 제어 회로 신호가 높음,Idle Speed Control Valve Open Solenoid Control Circuit Signal High,신호 이상,Idle Speed Control Valve Open Solenoid Control Cir...,공회로전 속도를 조절하는 밸브의 단선 솔레노이드 제어 회로에센서 신호 값이 너무 높습니다.
P1507,BMW,공회로전 속도 제어 밸브 단선 솔레노이드 제어 회로 신호가 낮음,Idle Speed Control Valve Open Solenoid Control Circuit Signal Low,신호 높여주기,Idle Speed Control Valve Open Solenoid Control Cir...,공회로전 속도를 조절하는 밸브의 단선 솔레노이드 제어 회로에센서 입력 신호가 너무 낮게 측정되었습니다.
P1508,BMW,공회로전 속도 제어 밸브 단선 솔레노이드 제어 회로 단선,Idle Speed Control Valve Opening Solenoid Control Open Circuit,단선됨,Idle Speed Control Valve Opening Solenoid Control ...,공회로전 속도를 제어하는 밸브의 단선 솔레노이드가 단선되었음을 알려드립니다.
P1509,BMW,공회로전 속도 제어 밸브 단선 솔레노이드 제어 회로 전기 결함,Idle Speed Control Valve Opening Solenoid Control Circuit Electrical, idle 속도 제어 회로 문제,Idle Speed Control Valve Opening Solenoid Control ...,공회로전 속도를 조절하는 밸브의 단선 솔레노이드 제어 회로에 문제가 발생했습니다.
P1510,BMW,공회로전 속도 제어 밸브가 고착되었습니다.,Idle Speed Control Valve Stuck,밸브 고착,Idle Speed Control Valve Stuck,공회로전 속도를 조절하는 밸브가 고정되어 있습니다. 주의하셔야 합니다.
P1511,BMW,DISA 제어 회로 전기 결함,DISA Control Circuit Electrical,전기 문제,DISA Control Circuit Electrical,DISA 제어 회로에센서 전기 문제가 발생했습니다.
P1512,BMW,DISA 제어 회로 신호가 낮게 감지되었습니다.,DISA Control Circuit Signal Low,DISA 입력 낮음,DISA Control Circuit Signal Low,DISA 제어 회로의 입력값이 예상보다 낮아요.
P1513,BMW,DISA 제어 회로 신호가 높음,DISA Control Circuit Signal High,신호 높음,DISA Control Circuit Signal High,"운전 중이시라면 확인해주세요, DISA 제어 회로의 신호가 높게 측정되었습니다."
P1519,BMW,뱅크 1 캠축 위치 액추에이터,A Camshaft Position Actuator Bank 1,캠축 위치,A Camshaft Position Actuator Bank 1,"운전사님, DTC 코드 P1519는 뱅크 1의 캠축 위치 액추에이터 관련 문제가 발생했습니다."
P1520,BMW,뱅크 1 캠축 위치 액추에이터 B,B Camshaft Position Actuator Bank 1,_BANK1__CAMSHAFT_POSITION_ACTUATOR_B,B Camshaft Position Actuator Bank 1,"운전사님, 뱅크 1의 캠축 위치 액추에이터 B가 관련된 문제가 발생했습니다."
P1522,BMW,_BANK 2 캠축 위치 액추에이터,A Camshaft Position Actuator Bank 2,_BANK 2 캐랭크,A Camshaft Position Actuator Bank 2,캠축 위치 액추에이터가 뱅크 2에센서 문제가 발생했습니다.
P1523,BMW,뱅크 1의 캠축 위치 액추에이터 신호가 낮습니다.,A Camshaft Position Actuator Signal Low Bank 1,신호값 낮음,A Camshaft Position Actuator Signal Low Bank 1,"운전사님, 뱅크 1 캠축 위치 액추에이터의 신호 값이 적게 나왔습니다. 주의해주세요."
P1524,BMW,뱅크 1의 캠축 위치 액추에이터 신호가 높습니다.,A Camshaft Position Actuator Signal High Bank 1,캠축 위치 신호 높음,A Camshaft Position Actuator Signal High Bank 1,"운전 중이시라면, 뱅크 1 캠축 위치 액추에이터 신호가 과도하게 높아졌다는 알림입니다."
P1525,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit Bank 1,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit ...,운전 중 캠축 위치 액추에이터 제어 회로가 단선되었습니다. 뱅크 1에센서 발생한 문제입니다.
P1526,BMW,뱅크 2 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit Bank 2,_BANK2_CAMPOS_ACTUATOR_OPEN,A Camshaft Position Actuator Control Open Circuit ...,뱅크 2의 캠축 위치 액추에이터 제어 회로가 단선되었습니다.
P1527,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 신호가 낮음,A Camshaft Position Actuator Control Circuit Signal Low Bank 1,신호 저하,A Camshaft Position Actuator Control Circuit Signa...,뱅크 1 캠축 위치 액추에이터의 제어 회로 신호가 너무 낮습니다.
P1528,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 신호가 높음,A Camshaft Position Actuator Control Circuit Signal High Bank 1,신호값 높음,A Camshaft Position Actuator Control Circuit Signa...,뱅크 1의 캠축 위치 액추에이터 제어 회로 신호 값이 너무 높습니다.
P1529,BMW,_BANK 1 뱅크 1의 캠축 위치 액추에이터 제어 회로 신호가 너무 낮음,B Camshaft Position Actuator Control Circuit Signal Low Bank 1,_BANK 1,B Camshaft Position Actuator Control Circuit Signa...,뱅크 1에센서 캠축 위치 액추에이터 제어 회로의 입력 신호가 높지 않아요.
P1530,BMW,_BANK 1 뱅크 1의 B 캠축 액추에이터 제어 회로 신호가 높습니다.,B Camshaft Position Actuator Control Circuit Signal High Bank 1,B CMP 신호 높음,B Camshaft Position Actuator Control Circuit Signa...,뱅크 1의 B 캠축 위치 액추에이터 제어 신호가 너무 높은 것으로 나타났습니다. 확인 부탁드립니다.
P1531,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선(B 캐민지),B Camshaft Position Actuator Control Open Circuit Bank 1,B 캐민지 단선,B Camshaft Position Actuator Control Open Circuit ...,뱅크 1의 B 캐민지에센서 캠축 위치 액추에이터 제어 회로가 단선되었습니다.
P1532,BMW,_BANK 2 뱅크 2의 B 캐매샤프트 위치 액추에이터 제어 회로 단선,B Camshaft Position Actuator Control Open Circuit Bank 2,B 캐매샤프트 액추에이터 단선,B Camshaft Position Actuator Control Open Circuit ...,뱅크 2의 B 캐매샤프트 위치 액추에이터 제어 회로가 단선되었습니다.
P1533,BMW,뱅크 2의 B 캠축 위치 액추에이터 제어 회로 신호가 낮음,B Camshaft Position Actuator Control Circuit Signal Low Bank 2,신호 낮음,B Camshaft Position Actuator Control Circuit Signa...,뱅크 2에센서 B 캠축 위치 액추에이터의 제어 회로 신호가 너무 낮아졌습니다.
P1534,BMW,뱅크 2의 B 캠축 위치 액추에이터 제어 회로 신호가 높음,B Camshaft Position Actuator Control Circuit Signal High Bank 2,신호 과고,B Camshaft Position Actuator Control Circuit Signa...,뱅크 2의 B 캠축 위치 액추에이터 제어 회로에센서 신호 값이 예상보다 높습니다.
P1540,BMW,페달 위치 센서,Pedal Position Sensor,센서,Pedal Position Sensor,페달 위치 센서입니다.
P1541,BMW,페달 위치 센서가 이상이 발생했습니다.,Pedal Position Sensor Double Error,페달 위치 오류,Pedal Position Sensor Double Error,운전 중 페달 위치 센서에센서 오류가 감지되었습니다. 주의하시기 바랍니다.
P1542,BMW,페달 위치 센서 전기 문제,Pedal Position Sensor Electrical,전기 문제,Pedal Position Sensor Electrical,페달 위치 센서의 전기적인 문제가 발생했습니다.
P1543,BMW,페달 위치 센서 오류,Pedal Position Sensor,센서 고장,Pedal Position Sensor,페달 위치 센서가 정상 작동하지 않습니다.
P1544,BMW,페달 위치 센서,Pedal Position Sensor,센서,Pedal Position Sensor,페달 위치 센서가 관련이 있습니다.
P1545,BMW,페달 위치 센서 관련 장치 오류,Pedal Position Sensor,센서 결함,Pedal Position Sensor,페달 위치 센서가 정상 작동하지 않습니다.
P1546,BMW,페달 위치 센서 오류,Pedal Position Sensor,센서 결함,Pedal Position Sensor,페달 위치 센서가 이상이 발생했습니다.
P1550,BMW,공회로전 속도 제어 밸브 닫힘 솔레노이드 제어 회로 전기 문제,Idle Speed Control Valve Closing Solenoid Control Circuit Electrical,Idle 속도 콘트롤,Idle Speed Control Valve Closing Solenoid Control ...,공회로전 속도를 조절하는 밸브의 닫힘 솔레노이드가 문제가 생겼습니다. 제어 회로에 이상이 발생했습니다.
P1551,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit Bank 1,캠축 위치 액추에이터 단선,A Camshaft Position Actuator Control Open Circuit ...,뱅크 1의 캠축 위치 액추에이터 제어 회로가 단선되었습니다.
P1552,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit Bank 1,캠축 위치 액추에이터 단선,A Camshaft Position Actuator Control Open Circuit ...,"운전사님, 뱅크 1 캠축 위치 액추에이터의 제어 회로가 단선되었습니다."
P1556,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,A Camshaft Position Actuator Control Open Circuit Bank 1,캠축 제어 단선,A Camshaft Position Actuator Control Open Circuit ...,운전 중 뱅크 1의 캐머 샤프트 위치 액추에이터 제어 회로가 단선되었습니다.
P1560,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,B Camshaft Position Actuator Control Open Circuit Bank 1,캠축 위치 액추에이터 단선,B Camshaft Position Actuator Control Open Circuit ...,운전 중인 경우 뱅크 1 캠축 위치 액추에이터 제어 회로가 단선되었습니다.
P1564,BMW,제어 모듈 선택,Control Module Selection,선택,Control Module Selection,제어 모듈 선택이 발생했습니다.
P1565,BMW,뱅크 1 캠축 위치 액추에이터 제어 회로 단선,B Camshaft Position Actuator Control Open Circuit Bank 1,_BANK1__CAMSHAFT_ACTUATOR_OPEN,B Camshaft Position Actuator Control Open Circuit ...,"운전사님, 뱅크 1의 캐ammenasherft 위치 액추에이터 제어 회로가 단선되었어요. 주의해주세요."
P1569,BMW,_BANK 2 캠축 위치 액추에이터 제어 회로 단선 발생,A Camshaft Position Actuator Control Open Circuit Bank 2,캠축 위치 액추에이터 단선,A Camshaft Position Actuator Control Open Circuit ...,_BANK 2 캠축 위치 액추에이터의 제어 회로에센서 단선이 감지되었습니다.
P1580,BMW, throttle valve가 메카니컬하게 고착되었습니다.,Throttle Valve Mechanically Stuck,throttle valve 고착,Throttle Valve Mechanically Stuck,throttle valve가 메카니컬하게 고착되어 있습니다. 주의가 필요합니다.
P1581,BMW,뱅크 2의 B 캠축 위치 액추에이터 제어 회로가 단선되었습니다.,B Camshaft Position Actuator Control Open Circuit Bank 2,캠축 액추에이터 단선,B Camshaft Position Actuator Control Open Circuit ...,뱅크 2의 B 캠축 위치 액추에이터 제어 회로가 단선되었어요. 주의하시기 바랍니다.
P1589,BMW,컨트롤러 모듈의 자기 점검에센서 뱅크 1 노킹 제어 펄스 테스트 결과입니다.,Control Module Self Test Knock Control Test Pulse Bank 1,뱅크 1 노킹 테스트,Control Module Self Test Knock Control Test Pulse ...,컨트롤러 모듈의 자기 점검에센서 뱅크 1 노킹 제어 펄스 테스트가 완료되었습니다.
P1593,BMW,DISA 제어 회로 전기 이상이 발생했습니다.,DISA Control Circuit Electrical,전기 문제,DISA Control Circuit Electrical,DISA 제어 회로의 전기 문제가 감지되었습니다.
P1594,BMW,뱅크 2의 B 캠축 위치 액추에이터 제어 회로가 단선되었습니다.,B Camshaft Position Actuator Control Open Circuit Bank 2,B CAM 단선,B Camshaft Position Actuator Control Open Circuit ...,뱅크 2의 B 캠축 위치 액추에이터 제어 회로가 단선되었어요.
P1602,BMW,제어 모듈의 자체 테스트 결과 제어 모듈이 고장났습니다.,Control Module Self Test Control Module Defective,고장,Control Module Self Test Control Module Defective,제어 모듈의 자체 테스트에센서 문제가 발견되어 제어 모듈이 고장났음을 알려드립니다.
P1603,BMW,제어 모듈 자체 테스트 토크 모듈니터링,Control Module Self Test Torque Monitoring,토크 모듈니터링,Control Module Self Test Torque Monitoring,제어 모듈의 자체 테스트에센서 토크 모듈니터링이 발생했습니다.
P1604,BMW,제어 모듈 자체 테스트 속도 모듈니터링,Control Module Self Test Speed Monitoring,속도 모듈니터링,Control Module Self Test Speed Monitoring,제어 모듈의 자체 테스트 중 속도 모듈니터링이 발생했습니다.
P1607,BMW,CAN 버전,CAN Version,버전,CAN Version,CAN 버전 정보입니다.
P1608,BMW,시리얼 통신 링크 제어 모듈,Serial Communicating Link Control Module,시리얼 통신,Serial Communicating Link Control Module,시리얼 통신 링크 제어 모듈입니다.
P1609,BMW,EML 직렬 통신 링크,Serial Communicating Link EML,통신 오류,Serial Communicating Link EML,직렬 통신 링크가 문제가 발생했습니다.
P1611,BMW,CAN 통신 링크의 전송 제어 모듈,Serial Communicating Link Transmission Control Module,CAN 통신,Serial Communicating Link Transmission Control Mod...,CAN 통신 링크의 전송 제어 모듈이 발생했습니다.
P1619,BMW,MAP 쿨링 제어 회로 신호가 낮음,MAP Cooling Control Circuit Signal Low,신호값 낮음,MAP Cooling Control Circuit Signal Low,MAP 쿨링 제어 회로의 신호 값이 예상 범위보다 낮습니다.
P1620,BMW,MAP 쿨링 제어 회로 신호가 높습니다.,MAP Cooling Control Circuit Signal High,신호 높음,MAP Cooling Control Circuit Signal High,MAP 쿨링 제어 회로의 신호가 이상적으로 너무 높아요.
P1622,BMW,MAP 쿨링 제어 회로 전기 결함,MAP Cooling Control Circuit Electrical,MAP 쿨링 제어 회로,MAP Cooling Control Circuit Electrical,MAP 쿨링 제어 회로의 전기 문제가 발생했습니다.
P1623,BMW,페달 위치 센서 포텐시오미터 공급 전원,Pedal Position Sensor Potentiometer Supply,포텐시오미터 전원,Pedal Position Sensor Potentiometer Supply,페달 위치 센서의 포텐시오미터 공급 전원 상태를 확인하세요.
P1624,BMW,페달 위치 센서 포텐시오미터 공급 채널 1 전기,Pedal Position Sensor Potentiometer Supply Channel 1 Electrical,전기 문제,Pedal Position Sensor Potentiometer Supply Channel...,페달 위치 센서의 포텐시오미터 공급 채널 1 관련 전기 문제가 발생했습니다.
P1625,BMW,페달 위치 센서 포텐시오미터 공급 채널 2 전기,Pedal Position Sensor Potentiometer Supply Channel 2 Electrical,전기 문제,Pedal Position Sensor Potentiometer Supply Channel...,페달 위치 센서의 포텐시오미터 공급 채널 2 관련 전기 문제입니다.
P1632,BMW,트러블슈팅 코드 P1632는 토글 밸브 적응 조건 미달성입니다.,Throttle Valve Adaptation Adaptation Condition Not Met,적응 조건 미달성,Throttle Valve Adaptation Adaptation Condition Not...,엔진 관리 시스템에센서 토글 밸브의 적응 조건이 충족되지 않았습니다. 문제가 있습니다.
P1633,BMW,스로틀 밸브 적응력 비상 운행 위치,Throttle Valve Adaptation Limp Home Position,스로틀 밸브 비상,Throttle Valve Adaptation Limp Home Position,스로틀 밸브의 적응력이 이상으로 인해 비상 운행 모듈드의 위치가 설정되었습니다.
P1634,BMW,스로틀 밸브 적응 스프링 테스트가 실패했습니다.,Throttle Valve Adaptation Spring Test Failed,테스트 실패,Throttle Valve Adaptation Spring Test Failed,스로틀 밸브 적응 스프링 테스트 결과가 좋지 않습니다. 확인이 필요합니다.
P1635,BMW,throttle valve의 하단 기계식 제한이 적응되지 않았습니다.,Throttle Valve Adaptation Lower Mechanical Stop Not Adapted,throttle valve 부적절,Throttle Valve Adaptation Lower Mechanical Stop No...,throttle valve가 정상적으로 작동하지 않아요. 하단 기계식 제한이 아직 적응되지 않은 상황이에요.
P1636,BMW,throttle valve 제어 회로,Throttle Valve Control Circuit,회로 문제,Throttle Valve Control Circuit, throttle valve 제어 회로 문제가 발생했습니다.
P1637,BMW,스로틀 밸브 제어 이상이 감지되었습니다.,Throttle Valve Position Control Control Deviation,스로틀 제어 오류,Throttle Valve Position Control Control Deviation,스로틀 밸브의 제어가 정상 범위를 벗어났습니다. 주의하십시오.
P1638,BMW,스로틀 밸브 위치 제어가 일시적으로 고착되었습니다.,Throttle Valve Position Control Throttle Stuck Temporarily,스로틀 고착,Throttle Valve Position Control Throttle Stuck Tem...,스로틀 밸브의 위치를 제어하는 시스템이 잠시 동안 작동하지 못하고 있는 상태입니다. 주행 중인 경우 안전을 위해 차량을 곧장 정차하십시오.
P1639,BMW,스로틀 밸브 제어 콤포넌트가 고착되어 있습니다.,Throttle Valve Position Control Throttle Stuck Permanently,스로틀 고장,Throttle Valve Position Control Throttle Stuck Per...,스로틀 밸브 제어 시스템이 영구적으로 고착되었습니다. 주의하시기 바랍니다.
P1640,BMW,내부 제어 모듈의 프로그램 오류입니다.,Internal Control Module ROM RAM Error,제어모듈 오류,Internal Control Module ROM RAM Error,차량 내부 제어 모듈에센서 프로그램 오류가 발생했습니다.
P1690,BMW,차량의 이상 감지 시 엔진 점검등(MIL) 전기적 문제입니다.,Malfunction Indicator Lamp MIL Electrical,MIL 전기 문제,Malfunction Indicator Lamp MIL Electrical,"차량에센서 문제가 발생하여 엔진 점검등이 켜졌으며, 이는 엔진 점검등 관련 전기적인 오류입니다."
P1734,BMW,압력 제어 솔레노이드 B 전기적 문제입니다.,Pressure Control Solenoid B Electrical,솔레노이드 B 전기,Pressure Control Solenoid B Electrical,압력 제어 솔레노이드 B의 전기적인 문제가 발생했습니다.
P1738,BMW,압력 제어 솔레노이드 C 전기적 문제,Pressure Control Solenoid C Electrical,솔레노이드 C 고장,Pressure Control Solenoid C Electrical,압력 제어 솔레노이드 C의 전기에 문제가 발생했습니다.
P1743,BMW,압력 제어 솔레노이드 E 전기 시스템 이상,Pressure Control Solenoid E Electrical,솔레노이드 E 전기,Pressure Control Solenoid E Electrical,압력 제어 솔레노이드 E의 전기 문제가 발생했습니다.
P1744,BMW,압력 제어 솔레노이드 A 전기 문제,Pressure Control Solenoid A Electrical,솔레노이드 A 전기,Pressure Control Solenoid A Electrical,압력 제어 솔레노이드 A의 전기 시스템에 문제가 발생했습니다.
P1746,BMW,변속기 제어 모듈 출력 단계,Transmission Control Module Output Stage,출력 단계,Transmission Control Module Output Stage,변속기 제어 모듈의 출력 단계입니다.
P1747,BMW,CAN 통신 모듈니터링,CAN Bus Monitoring,모듈니터링,CAN Bus Monitoring,CAN 버스 통신이 정상적으로 이루어지고 있는지 모듈니터링합니다.
P1748,BMW,변속기 제어 모듈 자가 테스트,Transmission Control Module Self Test,자가테스트,Transmission Control Module Self Test,변속기 제어 모듈의 자가 테스트 결과입니다.
P1749,BMW,2차 압력 솔레노이드 통신 오류입니다.,Secondary Pressure Solenoid Communication Error,압력 솔레노이드 통신 오류,Secondary Pressure Solenoid Communication Error,운전 중 2차 압력 솔레노이드의 통신 오류가 발생했습니다.
P1750,BMW,2차 압력 솔레노이드 회로 범위/성능 이상,Secondary Pressure Solenoid Circuit Range Performance,압력 솔레노이드 문제,Secondary Pressure Solenoid Circuit Range Performa...,"운전사님, 2차 압력 솔레노이드의 범위와 성능에 문제가 발생했습니다."
P1751,BMW,2차 압력 솔레노이드 회로 단선,Secondary Pressure Solenoid Open Circuit,단선,Secondary Pressure Solenoid Open Circuit,2차 압력 솔레노이드가 단선되었습니다.
P1761,BMW,변속 솔레노이드 오작동입니다.,Shift Solenoid Malfunction,변속 솔레노이드 고장,Shift Solenoid Malfunction,변속 솔레노이드가 정상적으로 작동하지 않습니다. 주의하십시오.
P1765,BMW,통신(_CAN) 측 톈틀 밸브,CAN Throttle Valve,CAN 통신 스로틀,CAN Throttle Valve,CAN 통신 측 스로틀 밸브 관련 문제가 발생했습니다.
P1770,BMW,CAN 토크 인터페이스,CAN Torque Interface,토크 인터페이스,CAN Torque Interface,CAN 토크 인터페이스 관련 문제가 발생했습니다.
P1780,BMW,CAN 통신 토크 감소,CAN Torque Reduction,토크 감소,CAN Torque Reduction,CAN 통신 문제로 인해 토크가 줄어들었습니다.
P0171,BUICK,뱅크 1의 시스템이 희박 상태입니다.,System Lean Bank 1,_BANK1 희박,System Lean Bank 1,운전 주행 중 뱅크 1의 연료 혼합기가 예상보다 희박하게 조정되었음을 알려드립니다.
P1031,BUICK,HO2S 히터 전류 모듈니터 제어 회로 센서 1 오작동,HO2S Heater Current Monitor Control Circuit Sensors 1,센서 1 고장,HO2S Heater Current Monitor Control Circuit Sensor...,센서 1의 HO2S 히터 전류 모듈니터 제어 회로에 문제가 발생했습니다.
P1032,BUICK,HO2S 히터 워밍업 제어 회로 센서 1 오류,HO2S Heater Warm Up Control Circuit Sensors 1,HO2S 히터 회로 문제,HO2S Heater Warm Up Control Circuit Sensors 1,엔진의 HO2S 히터 워밍업 제어 회로에 문제가 발생했습니다. 센서 1이 유닛효하지 않습니다.
P1105,BUICK,2차 진공 센서 회로,Secondary Vacuum Sensor Circuit,진공센서,Secondary Vacuum Sensor Circuit,"운전사님, 2차 진공 센서의 회로 상태를 확인해주십시오."
P1106,BUICK,MAP 센서 회로에센서 간헐적으로 높은 전압이 발생했습니다.,MAP Sensor Circuit Intermittent High Voltage,MAP 센서 이상,MAP Sensor Circuit Intermittent High Voltage,"운전 중이시라면, MAP 센서의 회로에센서 간헐적으로 높은 전압이 감지되었습니다. 주의해 주세요."
P1107,BUICK,MAP 센서 회로에센서 간헐적으로 저전압이 발생했습니다.,MAP Sensor Circuit Intermittent Low Voltage,간헐적 저전압,MAP Sensor Circuit Intermittent Low Voltage,"운전자님, MAP 센서의 전기 회로가 간헐적으로 저전압을 보여요."
P1108,BUICK,_BARO 센서와 MAP 센서 회로 비교 값이 너무 높습니다.,BARO To MAP Sensor Circuit Comparison Too High,비교값 이상,BARO To MAP Sensor Circuit Comparison Too High,BARO 센서와 MAP 센서의 회로 비교 값이 예상보다 매우 높아요. 이는 타당하지 않은 상황입니다.
P1109,BUICK,2차 포트 스로틀 시스템,Secondary Port Throttle System,2차 포트 스로틀,Secondary Port Throttle System,"운전사님, 2번 포트의 스로틀 시스템이 관련되어 있습니다."
